rank,company,equipment_type,country,equipment_age,priority_score
1,Voestalpine AG,Hot Dip Metal Coating Line,Austria,23,99.6
2,Voestalpine AG,Continuous Annealing Line,Austria,29,99.4
3,Voestalpine AG,Tandem Mill,Austria,30,99.3
4,Voestalpine AG,Continuous Annealing Line,Austria,12,99.3
5,Tata Steel,Temper-  Skin Pass Mill (CR),Netherlands,76,99.3
6,Breitenfeld Edelstahl,Vacuum Degassing Plant,Austria,25,99.1
7,Voestalpine AG,Continuous Annealing Line,Austria,14,99.1
8,Voestalpine AG,Vacuum Degassing Plant,Austria,26,98.9
9,Voestalpine AG,Hot Dip Metal Coating Line,Austria,19,98.9
10,Voestalpine AG,Hot Dip Metal Coating Line,Austria,16,98.9
11,Voestalpine AG,Continuous Annealing Line,Austria,13,98.9
12,Voestalpine AG,Continuous Slab Caster,Austria,22,98.9
13,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Luxembourg,76,98.8
14,SSAB,Temper-  Skin Pass Mill (CR),Sweden,62,98.7
15,Voestalpine AG,Tandem Mill,Austria,18,98.7
16,Outokumpu Oyj,Temper-  Skin Pass Mill (CR),Finland,29,98.5
17,Voestalpine AG,Batch Annealing Plant,Austria,21,98.4
18,Voestalpine AG,Pickling Line,Sweden,48,98.4
19,Voestalpine AG,Vacuum Degassing Plant,Austria,12,98.4
20,Wuppermann AG,Hot Dip Metal Coating Line,Austria,36,98.3
21,Aperam,Tandem Mill,France,28,98.3
22,Tata Steel,Continuous Annealing Line,Netherlands,54,98.2
23,Tata Steel,Tandem Mill,Netherlands,64,98.2
24,Aperam,Temper-  Skin Pass Mill (CR),France,28,98.2
25,Breitenfeld Edelstahl,Vacuum Degassing Plant,Austria,17,98.1
26,Outokumpu Oyj,Tandem Mill,Finland,23,98.1
27,Voestalpine AG,Electrolytic Metal Coating Lin,Austria,40,98.1
28,Voestalpine AG,Organic Coating Line,Austria,22,98.0
29,Tata Steel,Tandem Mill,Netherlands,73,98.0
30,Voestalpine AG,Continuous Slab Caster,Austria,8,97.9
31,Voestalpine AG,Temper-  Skin Pass Mill (CR),Austria,53,97.9
32,Voestalpine AG,Reversing Cold Rolling Mill,Austria,15,97.8
33,Outokumpu Oyj,Temper-  Skin Pass Mill (CR),Finland,23,97.8
34,ArcelorMittal SA,Continuous Annealing Line,Spain,34,97.8
35,Tata Steel,Pickling Line,Netherlands,64,97.8
36,Tata Steel,Batch Annealing Plant,Netherlands,55,97.8
37,Tata Steel,Temper-  Skin Pass Mill (CR),Netherlands,49,97.8
38,Breitenfeld Edelstahl,Steel Remelting Furnace,Austria,23,97.8
39,Voestalpine AG,Organic Coating Line,Austria,36,97.8
40,Wuppermann AG,Hot Dip Metal Coating Line,Austria,30,97.8
41,Voestalpine AG,Tandem Mill,Austria,55,97.7
42,Voestalpine AG,Direct or Smelting Reduction P,Austria,5,97.7
43,Outokumpu Oyj,Reversing Cold Rolling Mill,Finland,29,97.7
44,Voestalpine AG,Hot Dip Metal Coating Line,Austria,53,97.7
45,SSAB,Tandem Mill,Finland,54,97.7
46,Voestalpine AG,Pickling Line,Austria,30,97.6
47,Voestalpine AG,Hot Dip Metal Coating Line,Austria,35,97.5
48,Outokumpu Oyj,Pickling Line,Finland,29,97.5
49,Voestalpine AG,Batch Annealing Plant,Austria,15,97.5
50,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Spain,62,97.4
51,Voestalpine AG,Continuous Slab Caster,Austria,29,97.4
52,SSAB,Temper-  Skin Pass Mill (CR),Finland,54,97.4
53,Voestalpine AG,Vacuum Degassing Plant,Austria,4,97.4
54,Voestalpine AG,Blooming And Slabbing Mill,Austria,26,97.4
55,Voestalpine AG,Vacuum Degassing Plant,Austria,4,97.4
56,Voestalpine AG,Vacuum Degassing Plant,Austria,4,97.4
57,ArcelorMittal SA,Tandem Mill,France,54,97.3
58,ArcelorMittal SA,Tandem Mill,France,55,97.3
59,Aperam,Temper-  Skin Pass Mill (CR),France,60,97.3
60,Tata Steel,Pickling Line,Netherlands,74,97.3
61,Bluescope Steel,Temper-  Skin Pass Mill (CR),New Zealand,37,97.3
62,SSAB,Pickling Line,Finland,37,97.3
63,SSAB,Tandem Mill,Sweden,56,97.3
64,Tata Steel,Electrolytic Metal Coating Lin,Netherlands,64,97.2
65,SSAB,Temper-  Skin Pass Mill (HR),Finland,47,97.2
66,Voestalpine AG,Batch Annealing Plant,Austria,18,97.2
67,ArcelorMittal SA,Batch Annealing Plant,Luxembourg,64,97.1
68,Breitenfeld Edelstahl,Steel Remelting Furnace,Austria,7,97.1
69,Outokumpu Oyj,Pickling Line,Finland,23,97.1
70,Voestalpine AG,Steel Remelting Furnace,Austria,10,97.1
71,Bluescope Steel,Pickling Line,New Zealand,38,97.1
72,Voestalpine AG,Continuous Slab Caster,Austria,15,97.1
73,Bluescope Steel,Temper-  Skin Pass Mill (HR),New Zealand,38,97.1
74,Voestalpine AG,Reversing Cold Rolling Mill,Austria,43,97.0
75,Tata Steel,Reversing Cold Rolling Mill,Sweden,52,97.0
76,Aperam,Pickling Line,France,28,97.0
77,Tata Steel,Temper-  Skin Pass Mill (CR),Netherlands,70,97.0
78,Aperam,Temper-  Skin Pass Mill (CR),France,55,96.9
79,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,55,96.9
80,Aperam,Temper-  Skin Pass Mill (CR),France,55,96.9
81,Voestalpine AG,Vacuum Degassing Plant,Austria,20,96.9
82,Tata Steel,Temper-  Skin Pass Mill (CR),Netherlands,55,96.9
83,SSAB,Pickling Line,Finland,54,96.9
84,Aperam,Temper-  Skin Pass Mill (CR),France,55,96.9
85,Outokumpu Oyj,Reversing Cold Rolling Mill,Finland,37,96.9
86,Breitenfeld Edelstahl,Steel Remelting Furnace,Austria,3,96.8
87,SSAB,Pickling Line,Sweden,32,96.8
88,Nippon Steel,Temper-  Skin Pass Mill (CR),Slovakia,62,96.8
89,Tata Steel,Tandem Mill,Netherlands,55,96.8
90,SSAB,Organic Coating Line,Finland,49,96.8
91,ArcelorMittal SA,Tandem Mill,Spain,62,96.8
92,ThyssenKrupp AG,Continuous Annealing Line,Italy,55,96.8
93,Voestalpine AG,Batch Annealing Plant,Austria,52,96.7
94,SSAB,Continuous Annealing Line,Sweden,44,96.7
95,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,74,96.7
96,Breitenfeld Edelstahl,Steel Remelting Furnace,Austria,19,96.6
97,ArcelorMittal SA,Batch Annealing Plant,Luxembourg,76,96.6
98,Breitenfeld Edelstahl,Steel Remelting Furnace,Austria,19,96.6
99,Voestalpine AG,Plate Mill,Austria,11,96.5
100,Aperam,Continuous Annealing Line,France,55,96.5
101,Outokumpu Oyj,Pickling Line,Finland,50,96.5
102,Voestalpine AG,Billet-heavy Bar Mill,Austria,26,96.5
103,Outokumpu Oyj,Reversing Cold Rolling Mill,Sweden,55,96.5
104,Voestalpine AG,Vacuum Degassing Plant,Austria,37,96.4
105,Outokumpu Oyj,Pickling Line,Sweden,50,96.4
106,Voestalpine AG,Vacuum Degassing Plant,Austria,37,96.4
107,ArcelorMittal SA,Tandem Mill,France,40,96.4
108,Voestalpine AG,Sintering Plant,Austria,53,96.3
109,Voestalpine AG,Vacuum Degassing Plant,Austria,41,96.3
110,Outokumpu Oyj,Reversing Cold Rolling Mill,Finland,50,96.3
111,Voestalpine AG,Continuous Slab Caster,Austria,45,96.2
112,ArcelorMittal SA,Batch Annealing Plant,France,23,96.2
113,Voestalpine AG,Pickling Line,Austria,73,96.2
114,Outokumpu Oyj,Reversing Cold Rolling Mill,Sweden,50,96.1
115,SSAB,Batch Annealing Plant,Sweden,34,96.1
116,Nippon Steel,Pickling Line,Slovakia,62,96.1
117,SSAB,Hot Dip Metal Coating Line,Sweden,33,96.1
118,Voestalpine AG,Batch Annealing Plant,Austria,31,96.1
119,Voestalpine AG,Pickling Line,Austria,18,96.0
120,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,72,96.0
121,Acerinox SA,Temper-  Skin Pass Mill (CR),Spain,55,96.0
122,Voestalpine AG,Pickling Line,Austria,1,95.9
123,Voestalpine AG,Sintering Plant,Austria,52,95.9
124,ThyssenKrupp AG,Continuous Annealing Line,Italy,57,95.9
125,ThyssenKrupp AG,Continuous Annealing Line,Italy,57,95.9
126,ThyssenKrupp AG,Continuous Annealing Line,France,56,95.8
127,SSAB,Pickling Line,Sweden,45,95.8
128,Tata Steel,Batch Annealing Plant,Netherlands,74,95.8
129,Breitenfeld Edelstahl,Ladle Furnace,Austria,25,95.8
130,Voestalpine AG,Ladle Furnace,Austria,12,95.7
131,Outokumpu Oyj,Pickling Line,Sweden,57,95.7
132,Acciaierie D'Italia,Temper-  Skin Pass Mill (CR),Italy,76,95.7
133,SSAB,Hot Dip Metal Coating Line,Finland,54,95.7
134,Voestalpine AG,Ladle Furnace,Austria,4,95.6
135,ArcelorMittal SA,Tandem Mill,France,70,95.6
136,ArcelorMittal SA,Batch Annealing Plant,France,55,95.6
137,ArcelorMittal SA,Pickling Line,France,55,95.6
138,Voestalpine AG,Ladle Furnace,Austria,4,95.6
139,ArcelorMittal SA,Pickling Line,France,55,95.6
140,ArcelorMittal SA,Temper-  Skin Pass Mill (HR),France,58,95.6
141,Voestalpine AG,Ladle Furnace,Austria,4,95.6
142,Bluescope Steel,Batch Annealing Plant,New Zealand,38,95.5
143,Outokumpu Oyj,Reversing Cold Rolling Mill,Sweden,28,95.5
144,Aperam,Reversing Cold Rolling Mill,France,54,95.5
145,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Spain,48,95.5
146,ArcelorMittal SA,Tandem Mill,France,53,95.5
147,Bluescope Steel,Reversing Cold Rolling Mill,New Zealand,38,95.4
148,ArcelorMittal SA,Pickling Line,Germany,48,95.4
149,Acciaierie D'Italia,Tandem Mill,Italy,76,95.4
150,SSAB,Vacuum Degassing Plant,Finland,28,95.4
151,Voestalpine AG,Blast Furnace,Austria,49,95.3
152,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,69,95.3
153,ArcelorMittal SA,Pickling Line,France,42,95.3
154,Voestalpine AG,Steel Remelting Furnace,Austria,30,95.3
155,Alleima,Reversing Cold Rolling Mill,Sweden,29,95.3
156,Alleima,Reversing Cold Rolling Mill,Sweden,31,95.3
157,Voestalpine AG,Batch Annealing Plant,Austria,41,95.2
158,ArcelorMittal SA,Sintering Plant,France,55,95.2
159,Acerinox SA,Continuous Annealing Line,Spain,31,95.2
160,Acciaierie D'Italia,Continuous Annealing Line,Italy,33,95.2
161,Aperam,Reversing Cold Rolling Mill,France,55,95.1
162,SSAB,Organic Coating Line,Finland,38,95.1
163,Tata Steel,Batch Annealing Plant,Netherlands,37,95.1
164,ArcelorMittal SA,Pickling Line,France,74,95.1
165,Voestalpine AG,Ladle Furnace,Austria,28,95.0
166,Outokumpu Oyj,Reversing Cold Rolling Mill,Sweden,57,95.0
167,Outokumpu Oyj,Pickling Line,Finland,35,95.0
168,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Spain,56,95.0
169,Tata Steel,Continuous Slab Caster,Netherlands,40,95.0
170,ArcelorMittal SA,Electrolytic Metal Coating Lin,Poland,63,95.0
171,Tata Steel,Electrolytic Metal Coating Lin,Norway,64,94.9
172,ArcelorMittal SA,Pickling Line,France,52,94.9
173,Tata Steel,Sintering Plant,Netherlands,63,94.9
174,Outokumpu Oyj,Continuous Annealing Line,Germany,55,94.9
175,ThyssenKrupp AG,Pickling Line,France,52,94.9
176,ArcelorMittal SA,Batch Annealing Plant,Luxembourg,37,94.9
177,Aperam,Pickling Line,France,50,94.8
178,Tata Steel,Pickling Line,Netherlands,55,94.8
179,Voestalpine AG,Hot Strip Mill,Austria,73,94.8
180,Aperam,Continuous Annealing Line,Belgium,29,94.8
181,Aperam,Pickling Line,France,50,94.8
182,Aperam,Pickling Line,France,56,94.8
183,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,53,94.8
184,SSAB,Continuous Slab Caster,Sweden,37,94.7
185,ArcelorMittal SA,Continuous Annealing Line,Spain,35,94.7
186,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Poland,67,94.7
187,Tata Steel,Continuous Annealing Line,Netherlands,35,94.7
188,Salzgitter,Pickling Line,Germany,34,94.7
189,Outokumpu Oyj,Pickling Line,Germany,34,94.7
190,Tata Steel,Blast Furnace,Netherlands,54,94.7
191,ArcelorMittal SA,Temper-  Skin Pass Mill (HR),France,52,94.7
192,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,50,94.7
193,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,62,94.7
194,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Poland,67,94.7
195,ThyssenKrupp AG,Continuous Annealing Line,Germany,57,94.6
196,ArcelorMittal SA,Sintering Plant,France,60,94.6
197,Nippon Steel,Tandem Mill,Slovakia,61,94.6
198,Outokumpu Oyj,Pickling Line,United Kingdom,75,94.5
199,Voestalpine AG,Temper-  Skin Pass Mill (CR),Austria,0,94.5
200,Tata Steel,Pickling Line,United Kingdom,75,94.5
201,Acerinox SA,Continuous Annealing Line,Spain,49,94.5
202,ThyssenKrupp AG,Continuous Annealing Line,Italy,52,94.5
203,Tata Steel,Pickling Line,United Kingdom,75,94.5
204,ArcelorMittal SA,Batch Annealing Plant,Luxembourg,41,94.4
205,Voestalpine AG,Induction Melt Furnace,Austria,26,94.4
206,ArcelorMittal SA,Batch Annealing Plant,Luxembourg,41,94.4
207,Nippon Steel,Batch Annealing Plant,Slovakia,62,94.3
208,ArcelorMittal SA,Batch Annealing Plant,France,54,94.3
209,Erasteel,Plate Mill,France,27,94.2
210,Bilstein Group,Continuous Annealing Line,Germany,20,94.2
211,Bilstein Group,Batch Annealing Plant,Germany,25,94.2
212,Zapp Precision Metals GmbH,Batch Annealing Plant,Germany,25,94.2
213,Aperam,Reversing Cold Rolling Mill,France,57,94.2
214,Voestalpine AG,Wire Rod Mill,Austria,10,94.2
215,Outokumpu Oyj,Continuous Annealing Line,Germany,60,94.2
216,Tata Steel,Continuous Annealing Line,United Kingdom,64,94.1
217,Nippon Steel,Continuous Annealing Line,Slovakia,56,94.1
218,SSAB,Blast Furnace,Sweden,38,94.1
219,Voestalpine AG,Reversing Cold Rolling Mill,Sweden,74,94.1
220,ArcelorMittal SA,Pickling Line,France,51,94.1
221,ArcelorMittal SA,Sintering Plant,France,56,94.0
222,Acciaieria Arvedi SpA,Continuous Annealing Line,Italy,36,94.0
223,Erasteel,Pickling Line,France,59,94.0
224,Acciaieria Arvedi SpA,Continuous Annealing Line,Italy,36,94.0
225,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,51,94.0
226,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Spain,52,93.9
227,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),Spain,52,93.9
228,ArcelorMittal SA,Pickling Line,France,53,93.9
229,Voestalpine AG,Special Converter Processes,Austria,0,93.9
230,ArcelorMittal SA,Vacuum Degassing Plant,France,27,93.9
231,ArcelorMittal SA,Tandem Mill,Poland,68,93.9
232,ArcelorMittal SA,Continuous Annealing Line,France,49,93.9
233,Outokumpu Oyj,Pickling Line,Finland,44,93.9
234,Bluescope Steel,Continuous Slab Caster,New Zealand,39,93.9
235,Voestalpine AG,Special Converter Processes,Austria,0,93.9
236,ThyssenKrupp AG,Pickling Line,France,72,93.9
237,ArcelorMittal SA,Reversing Cold Rolling Mill,Spain,62,93.9
238,Aubert & Duval,Vacuum Degassing Plant,France,25,93.8
239,SHS Stahl Holding Saar,Vacuum Degassing Plant,France,25,93.8
240,ThyssenKrupp AG,Pickling Line,Germany,25,93.8
241,Bluescope Steel,Direct or Smelting Reduction P,New Zealand,40,93.8
242,ArcelorMittal SA,Pickling Line,Germany,25,93.8
243,ArcelorMittal SA,Batch Annealing Plant,France,60,93.8
244,ThyssenKrupp AG,Pickling Line,Germany,25,93.8
245,Breitenfeld Edelstahl,Ladle Furnace,Austria,17,93.8
246,Tata Steel,Hot Dip Metal Coating Line,France,57,93.7
247,Zapp Precision Metals GmbH,Continuous Annealing Line,Germany,34,93.7
248,Tata Steel,Electrolytic Metal Coating Lin,Netherlands,39,93.7
249,ArcelorMittal SA,Hot Dip Metal Coating Line,France,57,93.7
250,Voestalpine AG,Ladle Furnace,Austria,20,93.6
251,SSAB,Sintering Plant,Finland,50,93.6
252,Tata Steel,Continuous Annealing Line,United Kingdom,65,93.6
253,ArcelorMittal SA,Reversing Cold Rolling Mill,France,51,93.6
254,ArcelorMittal SA,Vacuum Degassing Plant,France,28,93.6
255,Outokumpu Oyj,Continuous Slab Caster,Finland,24,93.6
256,Acciaierie D'Italia,Continuous Annealing Line,Italy,76,93.6
257,Aperam,Reversing Cold Rolling Mill,France,56,93.6
258,ArcelorMittal SA,Reversing Cold Rolling Mill,France,56,93.6
259,ArcelorMittal SA,Reversing Cold Rolling Mill,France,56,93.6
260,Aperam,Reversing Cold Rolling Mill,France,51,93.6
261,Aperam,Reversing Cold Rolling Mill,France,36,93.6
262,Tata Steel,Pickling Line,United Kingdom,65,93.5
263,Aperam,Batch Annealing Plant,France,22,93.5
264,Outokumpu Oyj,Continuous Slab Caster,Sweden,46,93.5
265,ThyssenKrupp AG,Batch Annealing Plant,Germany,55,93.5
266,ArcelorMittal SA,Pickling Line,France,41,93.5
267,SSAB,Continuous Slab Caster,Sweden,46,93.5
268,SSAB,Continuous Slab Caster,Sweden,46,93.5
269,ThyssenKrupp AG,Continuous Annealing Line,Germany,54,93.5
270,ArcelorMittal SA,Reversing Cold Rolling Mill,Luxembourg,38,93.5
271,Acerinox SA,Pickling Line,Spain,37,93.5
272,C.D. Wälzholz GmbH,Continuous Annealing Line,Germany,27,93.4
273,ArcelorMittal SA,Tandem Mill,Spain,53,93.4
274,Outokumpu Oyj,Continuous Annealing Line,Germany,27,93.4
275,Tata Steel,Coking Plant,Netherlands,54,93.3
276,Tata Steel,Continuous Slab Caster,Netherlands,46,93.3
277,ArcelorMittal SA,Hot Dip Metal Coating Line,Belgium,28,93.2
278,ThyssenKrupp AG,Tandem Mill,Germany,25,93.2
279,Tata Steel,Temper-  Skin Pass Mill (CR),Germany,25,93.1
280,Aperam,Temper-  Skin Pass Mill (CR),France,65,93.1
281,Voestalpine AG,Plate Mill,Austria,74,93.1
282,ThyssenKrupp AG,Continuous Annealing Line,Germany,21,93.1
283,Voestalpine AG,Ladle Furnace,Austria,26,93.1
284,Tata Steel,Temper-  Skin Pass Mill (HR),United Kingdom,75,93.0
285,Outokumpu Oyj,Pickling Line,Germany,23,93.0
286,SSAB,Continuous Slab Caster,Sweden,47,93.0
287,Outokumpu Oyj,Plate Mill,Sweden,64,92.9
288,Tata Steel,Electrolytic Metal Coating Lin,Netherlands,59,92.9
289,ThyssenKrupp AG,Pickling Line,Italy,34,92.9
290,Acciaierie D'Italia,Pickling Line,Italy,34,92.9
291,ThyssenKrupp AG,Continuous Annealing Line,Germany,1,92.8
292,Acciaieria Arvedi SpA,Pickling Line,Italy,36,92.8
293,Voestalpine AG,Continuous Slab Caster,Austria,52,92.8
294,ThyssenKrupp AG,Temper-  Skin Pass Mill (CR),Germany,48,92.8
295,SSAB,Batch Annealing Plant,Sweden,57,92.8
296,Nippon Steel,Continuous Annealing Line,Slovakia,23,92.7
297,ArcelorMittal SA,Continuous Annealing Line,France,13,92.7
298,ThyssenKrupp AG,Pickling Line,Germany,73,92.7
299,Tata Steel,Hot Dip Metal Coating Line,Netherlands,37,92.7
300,ArcelorMittal SA,Hot Dip Metal Coating Line,Belgium,29,92.7
301,ArcelorMittal SA,Vacuum Degassing Plant,France,29,92.7
302,Acerinox SA,Pickling Line,Spain,38,92.7
303,Tata Steel,Temper-  Skin Pass Mill (CR),United Kingdom,75,92.7
304,SSAB,Sintering Plant,Finland,62,92.6
305,Aperam,Hot Dip Metal Coating Line,France,56,92.6
306,ArcelorMittal SA,Hot Dip Metal Coating Line,France,42,92.6
307,SSAB,Sintering Plant,Finland,62,92.6
308,Tata Steel,Pickling Line,Netherlands,25,92.6
309,ArcelorMittal SA,Tandem Mill,France,64,92.5
310,ArcelorMittal SA,Batch Annealing Plant,France,27,92.5
311,Aperam,Continuous Annealing Line,France,58,92.5
312,ArcelorMittal SA,Hot Dip Metal Coating Line,Poland,65,92.5
313,ArcelorMittal SA,Batch Annealing Plant,Spain,55,92.5
314,ArcelorMittal SA,Batch Annealing Plant,France,27,92.5
315,Acerinox SA,Continuous Annealing Line,Germany,49,92.5
316,Acciaierie D'Italia,Continuous Annealing Line,Italy,44,92.5
317,Bluescope Steel,BOF Shop,New Zealand,0,92.4
318,ThyssenKrupp AG,Temper-  Skin Pass Mill (CR),Germany,73,92.4
319,Erasteel,Pickling Line,France,68,92.4
320,Outokumpu Oyj,Continuous Annealing Line,Germany,10,92.4
321,ArcelorMittal SA,Batch Annealing Plant,France,49,92.3
322,ArcelorMittal SA,Organic Coating Line,France,37,92.3
323,Acerinox SA,Continuous Annealing Line,Spain,27,92.3
324,Voestalpine AG,Reversing Cold Rolling Mill,Austria,0,92.3
325,Tata Steel,Blast Furnace,Netherlands,59,92.3
326,Acerinox SA,Continuous Annealing Line,Germany,7,92.2
327,ArcelorMittal SA,Pickling Line,Spain,54,92.2
328,Tata Steel,Thin-Slab Caster,Netherlands,26,92.1
329,C.D. Wälzholz GmbH,Continuous Annealing Line,Germany,26,92.1
330,ArcelorMittal SA,Sintering Plant,Spain,54,92.0
331,Zapp Precision Metals GmbH,Reversing Cold Rolling Mill,Germany,49,92.0
332,ThyssenKrupp AG,Batch Annealing Plant,Germany,54,91.9
333,SSAB,Plate Mill,Sweden,28,91.9
334,ThyssenKrupp AG,Batch Annealing Plant,Germany,54,91.9
335,ArcelorMittal SA,Hot Dip Metal Coating Line,France,5,91.9
336,ArcelorMittal SA,Pickling Line,Spain,52,91.8
337,Bluescope Steel,Tandem Mill,Australia,71,91.8
338,ArcelorMittal SA,Sintering Plant,France,53,91.8
339,SSAB,Plate Mill,Finland,50,91.8
340,ArcelorMittal SA,Hot Dip Metal Coating Line,France,21,91.8
341,Voestalpine AG,Continuous Bloom Caster,Austria,26,91.7
342,ThyssenKrupp AG,Continuous Annealing Line,Germany,42,91.7
343,Acerinox SA,Reversing Cold Rolling Mill,Spain,55,91.7
344,ArcelorMittal SA,Temper-  Skin Pass Mill (CR),France,64,91.7
345,Aperam,Temper-  Skin Pass Mill (CR),France,64,91.7
346,Aperam,Temper-  Skin Pass Mill (CR),France,64,91.7
347,SSAB,Hot Dip Metal Coating Line,Finland,26,91.6
348,ArcelorMittal SA,Continuous Annealing Line,France,38,91.6
349,Aperam,Reversing Cold Rolling Mill,Belgium,29,91.6
350,ArcelorMittal SA,Continuous Annealing Line,France,38,91.6
351,Outokumpu Oyj,Pickling Line,Germany,54,91.5
352,ThyssenKrupp AG,Pickling Line,Germany,54,91.5
353,ArcelorMittal SA,Electrolytic Metal Coating Lin,Spain,63,91.4
354,Voestalpine AG,Steel Remelting Furnace,Austria,50,91.4
355,Nippon Steel,Temper-  Skin Pass Mill (CR),Slovakia,59,91.4
356,ArcelorMittal SA,Electrolytic Metal Coating Lin,Spain,55,91.4
357,Acciaieria Arvedi SpA,Temper-  Skin Pass Mill (CR),Italy,37,91.4
358,Voestalpine AG,Coking Plant,Austria,43,91.3
359,Tata Steel,Continuous Annealing Line,United Kingdom,61,91.3
360,Bluescope Steel,Hot Dip Metal Coating Line,New Zealand,58,91.3
361,ArcelorMittal SA,Hot Dip Metal Coating Line,France,37,91.3
362,Tata Steel,Continuous Annealing Line,United Kingdom,61,91.3
363,Voestalpine AG,Medium Section Mill,Austria,20,91.2
364,Outokumpu Oyj,Pickling Line,Sweden,67,91.2
365,Aperam,Reversing Cold Rolling Mill,France,32,91.1
366,Voestalpine AG,Steel Remelting Furnace,Austria,57,91.1
367,ArcelorMittal SA,Pickling Line,France,64,91.1
368,ThyssenKrupp AG,Pickling Line,Germany,62,91.1
369,Vobarno Nastri Special SPA,Continuous Annealing Line,Italy,27,91.1
370,ThyssenKrupp AG,Hot Dip Metal Coating Line,Germany,34,91.1
371,Marcegaglia SpA,Pickling Line,Italy,28,91.1
372,Tata Steel,Sintering Plant,Netherlands,70,91.1
373,ThyssenKrupp AG,Hot Dip Metal Coating Line,Germany,34,91.1
374,Network Steel Resources S.A.,Hot Dip Metal Coating Line,Spain,33,91.1
375,Acciaieria Arvedi SpA,Pickling Line,Italy,28,91.1
376,ArcelorMittal SA,Pickling Line,France,64,91.1
377,Acerinox SA,Reversing Cold Rolling Mill,Spain,37,91.0
378,Bilstein Group,Tandem Mill,Germany,57,91.0
379,Tata Steel,Pickling Line,United Kingdom,87,91.0
380,Outokumpu Oyj,Temper-  Skin Pass Mill (CR),Germany,57,91.0
381,Tata Steel,Pickling Line,United Kingdom,87,91.0
382,ThyssenKrupp AG,Pickling Line,Germany,50,91.0
383,ArcelorMittal SA,Batch Annealing Plant,France,47,91.0
384,ArcelorMittal SA,Reversing Cold Rolling Mill,Spain,52,91.0
385,Salzgitter,Hot Dip Metal Coating Line,Germany,25,90.9
386,ThyssenKrupp AG,Hot Dip Metal Coating Line,Germany,25,90.9
387,ArcelorMittal SA,Hot Dip Metal Coating Line,Germany,25,90.9
388,ArcelorMittal SA,Hot Dip Metal Coating Line,Spain,60,90.9
389,ThyssenKrupp AG,Continuous Annealing Line,Italy,51,90.9
390,Aperam,Continuous Annealing Line,France,53,90.9
391,ThyssenKrupp AG,Tandem Mill,Germany,54,90.8
392,ThyssenKrupp AG,Pickling Line,Germany,71,90.8
393,SSAB,Hot Strip Mill,Finland,54,90.8
394,Outokumpu Oyj,Pickling Line,Germany,71,90.8
395,ArcelorMittal SA,Continuous Annealing Line,France,40,90.8
396,Acerinox SA,Temper-  Skin Pass Mill (CR),Spain,31,90.8
397,Voestalpine AG,Continuous Bloom Caster,Austria,6,90.8
398,Tata Steel,BOF Shop,Netherlands,0,90.8
399,SSAB,Organic Coating Line,Sweden,48,90.7
400,Voestalpine AG,Steel Remelting Furnace,Austria,0,90.7
401,Voestalpine AG,Steel Remelting Furnace,Austria,0,90.7
402,Acciaierie D'Italia,Temper-  Skin Pass Mill (CR),Italy,46,90.7
403,Voestalpine AG,Steel Remelting Furnace,Austria,0,90.7
404,ArcelorMittal SA,Hot Dip Metal Coating Line,Belgium,26,90.7
405,ArcelorMittal SA,Hot Dip Metal Coating Line,Belgium,26,90.7
406,Aperam,Pickling Line,France,66,90.7
407,ArcelorMittal SA,Hot Dip Metal Coating Line,France,28,90.7
408,C.D. Wälzholz GmbH,Reversing Cold Rolling Mill,Germany,28,90.7
409,Tata Steel,Tandem Mill,United Kingdom,75,90.6
410,Acciaieria Arvedi SpA,Pickling Line,Italy,63,90.6
411,Acciaierie D'Italia,Tandem Mill,Italy,46,90.6
412,Voestalpine AG,Steel Remelting Furnace,Austria,51,90.6
413,Voestalpine AG,Reversing Cold Rolling Mill,Austria,64,90.6
414,Tata Steel,Tandem Mill,United Kingdom,75,90.6
415,Acciaieria Arvedi SpA,Pickling Line,Italy,63,90.6
416,Outokumpu Oyj,Reversing Cold Rolling Mill,Sweden,71,90.6
417,ThyssenKrupp AG,Pickling Line,Germany,52,90.6
418,ArcelorMittal SA,Pickling Line,France,22,90.5
419,ThyssenKrupp AG,Batch Annealing Plant,Germany,60,90.5
420,ArcelorMittal SA,Organic Coating Line,Belgium,24,90.5
421,Bluescope Steel,Reversing Cold Rolling Mill,Australia,75,90.5
422,Tata Steel,Temper-  Skin Pass Mill (HR),United Kingdom,64,90.4
423,ArcelorMittal SA,Pickling Line,Spain,53,90.4
424,Acerinox SA,Pickling Line,Spain,53,90.4
