PBS: CoE,PBS-Element,Installed Base ID,Installed Base,PBS: Execution Type (Product),Technical Location,country,Date Start-up,Status of Plant/Equipment,Date of Verification,Type of Verification,Employee Responsible,name,PBS: Plant type,Location Description (Installed Base),Nominat Capacity [t/y],industry,region,rating,status,fte,revenue,latitude,longitude,company_ceo,fte_count
Flat Products,Annealing and Coating Line (FR),11977.0,Annealing and Coating Line,Annealing and Coating Line,"#",Slovakia,2004-01-01 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Johannes Schuchardt,"U.S. Steel Kosice, s.r.o.",Annealing and Coating Line (FR),"U.S. Steel Kosice, s.r.o.",100000.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),20101.0,00,Aluminium Cold Rolling Mill,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Aluminum Cold Rolling Mill (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),20102.0,00,Aluminium Cold Rolling Mill,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Aluminum Cold Rolling Mill (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),20195.0,2600 mm Cold Rolling Mill,Aluminium Cold Rolling Mill,S-AT-RANSH,Austria,2016-06-28 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Ralf Ohrndorf,AMAG rolling GmbH,Aluminum Cold Rolling Mill (FR),AMAG rolling GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21494.0,ACM 2-Stand 4 HI,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Constellium Singen GmbH,Aluminum Cold Rolling Mill (FR),Constellium Singen GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21498.0,ACM 4 Hi Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,on site,Johannes Schuchardt,Novelis Deutschland GmbH,Aluminum Cold Rolling Mill (FR),Novelis Deutschland GmbH - Nachterstedt,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21491.0,ACM 4 Hi Rev sheet,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Koblenz GmbH,Aluminum Cold Rolling Mill (FR),Novelis Koblenz GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21496.0,ACM 4 Ni Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Deutschland GmbH - Ohle,Aluminum Cold Rolling Mill (FR),Novelis Deutschland GmbH - Nachterstedt,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21497.0,ACM 6 Hi Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Deutschland GmbH,Aluminum Cold Rolling Mill (FR),Novelis Deutschland GmbH - Nachterstedt,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),21492.0,ACM 6 Ni Non-Rev,Aluminium Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Novelis Koblenz GmbH,Aluminum Cold Rolling Mill (FR),Novelis Koblenz GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),13750.0,"Alu CRM, HH1 (4-High, 1 Stand)",Aluminium Cold Rolling Mill,"#",Germany,2000-12-31 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Daniel Kasimirowicz,Speira GmbH,Aluminum Cold Rolling Mill (FR),Hydro Aluminium Rolled Products GmbH - Hamburg,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),13056.0,"Alu CRM, HH2 (4-High, 1 Stand)",Aluminium Cold Rolling Mill,"#",Germany,2000-12-31 00:00:00,In Operation,2022-09-01 00:00:00,Internet,Johannes Schuchardt,Speira GmbH,Aluminum Cold Rolling Mill (FR),Speira GmbH Werk Hamburg Hamburg,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),14135.0,ALU Strip Mill (6-High-1-Stand),Aluminium Cold Rolling Mill,"#",Greece,2000-12-31 00:00:00,In Operation,2020-04-27 00:00:00,Internet,Johannes Schuchardt,Elval Hellenic Aluminium Industry S.A.,Aluminum Cold Rolling Mill (FR),Elval Hellenic Aluminium Industry S.A. - Maroussi,120000.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),28961.0,Alu-CRM,Aluminum Cold Rolling Mill ACM,"#",Germany,"#",In Operation,2024-04-25 00:00:00,Internet,Johannes Schuchardt,Speira GmbH,Aluminum Cold Rolling Mill (FR),Speira GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),20242.0,"Alu-CRM (6-High, 1 Stand)",Aluminium Cold Rolling Mill,S-AT-RANSH,Austria,2017-12-31 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Johannes Schuchardt,AMAG rolling GmbH,Aluminum Cold Rolling Mill (FR),AMAG rolling GmbH,120000.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),28963.0,Aluminium Cold Rolling Mill (ACM),Aluminum Cold Rolling Mill ACM,"#",Germany,"#",In Operation,2024-04-25 00:00:00,on site,Johannes Schuchardt,Speira GmbH,Aluminum Cold Rolling Mill (FR),Speira GmbH Werk Hamburg Hamburg,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),10817.0,Cold Rolling Mill,Aluminium Cold Rolling Mill,"#",Switzerland,1982-05-01 00:00:00,In Operation,2018-03-20 00:00:00,on site,Johannes Schuchardt,Novelis Switzerland SA,Aluminum Cold Rolling Mill (FR),Novelis Switzerland SA,250000.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),15478.0,"Cold Rolling Mill (4-High, 1 Stand)",Aluminium Cold Rolling Mill,"#",Italy,2004-12-31 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Roberto Miccoli,Slim Aluminium S.p.A,Aluminum Cold Rolling Mill (FR),Slim Aluminium S.p.A,100000.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),16810.0,CRM Alcomet,Aluminium Cold Rolling Mill,"#",Bulgaria,2016-06-30 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Johannes Schuchardt,ALCOMET AD,Aluminum Cold Rolling Mill (FR),Alcomet AD,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),12494.0,Duffel Upgrate CRM,Aluminium Cold Rolling Mill,"#",Belgium,"#",In Operation,2019-01-01 00:00:00,Internet,Christina Sänger,Aluminum Duffel BV,Aluminum Cold Rolling Mill (FR),Aleris Aluminum Duffel BVBA,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),16921.0,EA ALCOMET 6-hi CRM,Aluminium Cold Rolling Mill,"#",Bulgaria,2016-06-30 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Johannes Schuchardt,ALCOMET AD,Aluminum Cold Rolling Mill (FR),Alcomet AD,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),15479.0,New Cold Mill (NCM),Aluminium Cold Rolling Mill,"#",Italy,"#",In Operation,2019-01-01 00:00:00,Internet,Helmut Beckmann-Lenneper,Slim Aluminium S.p.A,Aluminum Cold Rolling Mill (FR),Slim Aluminium S.p.A,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),9890.0,"Thin Strip Mill (4-High, 1 Stand)",Aluminium Cold Rolling Mill,"#",Norway,2001-12-31 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Daniel Kasimirowicz,Speira AS,Aluminum Cold Rolling Mill (FR),Hydro Aluminium Rolled Products AS HOLMESTRAND ROLLING MILL,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Cold Rolling Mill (FR),13669.0,"Thin Strip Mill (6-High, 1 Stand)",Aluminium Cold Rolling Mill,S-DE-GREVE-73-01,Germany,"#",In Operation,2019-01-01 00:00:00,Internet,Florian Jungen,Speira GmbH,Aluminum Cold Rolling Mill (FR),Hydro Aluminium Rolled Products GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Tandem Cold Rolling Mill (FR),21493.0,ACT 3-Stand 4 Hi,Aluminium Tandem Cold Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Constellium Singen GmbH,Aluminum Tandem Cold Rolling Mill (FR),Constellium Singen GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Compact Mill (FR),20196.0,´Hot Compact Mill,Aluminium Compact Hot Rolling Mill,S-AT-RANSH,Austria,2019-10-14 00:00:00,In Operation,2019-10-08 00:00:00,on site,Ralf Ohrndorf,AMAG rolling GmbH,Aluminum Hot Compact Mill (FR),AMAG rolling GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Compact Mill (FR),20133.0,00,Aluminium Compact Hot Rolling Mill,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Aluminum Hot Compact Mill (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Compact Mill (FR),12570.0,Aluminium Compact Hot Rolling Mill,Aluminium Compact Hot Rolling Mill,"#",Slovenia,"#",In Operation,2019-01-01 00:00:00,Internet,Rene Meitzke,Impol d.o.o.,Aluminum Hot Compact Mill (FR),Impol d.o.o.,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Compact Mill (FR),12569.0,HCM,Aluminium Compact Hot Rolling Mill,"#",Croatia,"#",In Operation,2019-01-01 00:00:00,Internet,Florian Jungen,Impol - TLM d.o.o.,Aluminum Hot Compact Mill (FR),Impol - TLM d.o.o.,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Plate Mill (FR),12495.0,"ALU-PLATE (4-High, 1 Stand)",Aluminium Hot Plate Mill [Alu Hot Mills],"#",Belgium,2007-12-31 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Johannes Schuchardt,Aluminum Duffel BV,Aluminum Hot Plate Mill (FR),Aleris Aluminum Duffel BVBA,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Plate Mill (FR),15176.0,"Alu-Plate and HSM Mill (4-High, 1 Stand)",Aluminium Hot Plate Mill [Alu Hot Mills],"#",Germany,2006-12-31 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Johannes Schuchardt,Novelis Koblenz GmbH,Aluminum Hot Plate Mill (FR),Alvance Aluminium,220000.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Plate Mill (FR),11803.0,Hot Mill,Aluminium Hot Plate Mill [Alu Hot Mills],"#",Romania,2016-03-30 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Johannes Schuchardt,ALRO S.A.,Aluminum Hot Plate Mill (FR),ALRO S.A.,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Reversing Mill (FR),28962.0,Alu-HRM,Aluminum Hot Reversing Mill AHR,"#",Germany,"#",In Operation,2024-04-25 00:00:00,on site,Johannes Schuchardt,Speira GmbH,Aluminum Hot Reversing Mill (FR),Speira GmbH Werk Hamburg Hamburg,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Reversing Mill (FR),14133.0,EA ELVAL 4-stand Hot Finishing Tandem Mi,Aluminium Reversing Hot Rolling Mill,"#",Greece,2018-12-31 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Martin Ahrens,Elval Hellenic Aluminium Industry S.A.,Aluminum Hot Reversing Mill (FR),Elval Hellenic Aluminium Industry S.A. - Oinofyta Viotia,491500.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),21495.0,AHS 3 Stand,Aluminium Hot Strip Rolling Mill,"#",Germany,"#",In Operation,2023-02-13 00:00:00,Internet,Johannes Schuchardt,Constellium Singen GmbH,Aluminum Hot Strip Mill (FR),Constellium Singen GmbH,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),15477.0,"ALU HRM (2-High, 1 Stand)",Aluminium Hot Strip Rolling Mill,"#",Italy,"#",In Operation,2025-01-28 00:00:00,on site,William Tami,Slim Aluminium S.p.A,Aluminum Hot Strip Mill (FR),Slim Aluminium S.p.A,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),14213.0,"Alu-HCM (4-High, 1 Stand)",Aluminium Hot Strip Rolling Mill,"#",Greece,2013-12-31 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Johannes Schuchardt,Elval Hellenic Aluminium Industry S.A.,Aluminum Hot Strip Mill (FR),Elval Hellenic Aluminium Industry S.A. - Oinofyta Viotia,250000.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),18726.0,"ALU-HSM (4-High, 1 Stand)",Aluminium Hot Strip Rolling Mill,S-DE-HYDHH,Germany,2012-12-05 00:00:00,In Operation,2022-09-01 00:00:00,Internet,Johannes Schuchardt,Speira GmbH,Aluminum Hot Strip Mill (FR),Speira GmbH Werk Hamburg Hamburg,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),11294.0,"ALU-HSM (4-High, 1+4 Stand)",Aluminium Hot Strip Rolling Mill,S-DE-NEUSS-73-01,Germany,2003-12-31 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Johannes Schuchardt,Aluminium Norf GmbH,Aluminum Hot Strip Mill (FR),ALUMINIUM NORF GMBH,150000.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),12501.0,Alu-Strip Mill (4-High-1-Stand),Aluminium Hot Strip Rolling Mill,"#",Croatia,2016-12-31 00:00:00,In Operation,2022-01-01 00:00:00,Internet,Roberto Miccoli,Impol - TLM d.o.o.,Aluminum Hot Strip Mill (FR),Impol - TLM d.o.o.,0.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),11275.0,Alu-Strip Mill (4-High+1+3-Stand),Aluminium Hot Strip Rolling Mill,S-DE-NEUSS,Germany,2013-12-31 00:00:00,In Operation,2020-04-27 00:00:00,Internet,Johannes Schuchardt,Aluminium Norf GmbH,Aluminum Hot Strip Mill (FR),ALUMINIUM NORF GMBH,700000.0,,Europe,,,,,,,,
Flat Products,Aluminum Hot Strip Mill (FR),9764.0,Modernization Alu HRM and TCM (study),Aluminium Hot Strip Rolling Mill,S-DE-SINGE,Germany,2015-11-05 00:00:00,In Operation,2019-01-01 00:00:00,Internet,Johannes Schuchardt,Constellium Singen GmbH,Aluminum Hot Strip Mill (FR),Constellium Singen GmbH,0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),10718.0,CAPL,Annealing and Pickling Line,"#",Belgium,1983-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Johannes Schuchardt,"Aperam Stainless Belgium, NV",Annealing and Pickling Line (FR),"Aperam Stainless Belgium, NV",0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),10721.0,CAPL,Annealing and Pickling Line,"#",Belgium,1992-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Michael Fähr,"Aperam Stainless Belgium, NV",Annealing and Pickling Line (FR),"Aperam Stainless Belgium, NV",0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),10719.0,CAPL,Annealing and Pickling Line,"#",Belgium,1973-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Michael Fähr,"Aperam Stainless Belgium, NV",Annealing and Pickling Line (FR),"Aperam Stainless Belgium, NV",0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),21482.0,CAPL,Annealing and Pickling Line,"#",Belgium,2021-03-27 00:00:00,In Operation,2023-02-09 00:00:00,on site,Ronald Genßler,"Aperam Stainless Belgium, NV",Annealing and Pickling Line (FR),"Aperam Stainless Belgium, NV",0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),14883.0,Inox 2,Thermal Equipment APL,"#",France,"#",Not in Operation,2018-08-29 00:00:00,on site,Johannes Schuchardt,Aperam Precision Europe,Annealing and Pickling Line (FR),Aperam Precision Europe,0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),12529.0,Inox 2,Thermal Equipment APL,"#",France,"#",Not in Operation,2018-08-31 00:00:00,on site,Johannes Schuchardt,Aperam Stainless France SAS,Annealing and Pickling Line (FR),Aperam France - Isbergues,0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),12530.0,LC2i,Annealing and Pickling Line,"#",France,1998-05-11 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Johannes Schuchardt,Aperam Stainless France SAS,Annealing and Pickling Line (FR),Aperam France - Isbergues,0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),16144.0,OUTOAB APL Hot & Cold-Strip,Annealing and Pickling Line,"#",Sweden,2006-01-01 00:00:00,In Operation,2019-10-01 00:00:00,Internet,Nordine Beskri,Outokumpu Stainless AB,Annealing and Pickling Line (FR),Outokumpu Stainless AB - Avesta,0.0,,Europe,,,,,,,,
Flat Products,Annealing and Pickling Line (FR),20702.0,PLTCM,Annealing and Pickling Line,"#",Germany,2020-05-11 00:00:00,In Operation,2020-05-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Annealing and Pickling Line (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Acid Regeneration Plant (FR),15290.0,SZFG ARP,Fluidized Bed Acid Regeneration Plant,"#",Germany,2006-01-01 00:00:00,In Operation,2019-10-01 00:00:00,Internet,Johannes Schuchardt,Salzgitter Flachstahl GmbH,Acid Regeneration Plant (FR),Salzgitter Flachstahl GmbH,0.0,,Europe,,,,,,,,
Flat Products,Batch Annealing Plant (FR),20107.0,00,Batch Annealing Furnace Plant (BAF),"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Batch Annealing Plant (FR),ZZ MS CRM Import Account,80000.0,,Europe,,,,,,,,
Flat Products,Batch Annealing Plant (FR),20663.0,Annealing Furnace Plant,Batch Annealing Furnace Plant (BAF),"#",Germany,2006-12-18 00:00:00,In Operation,2019-09-16 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Batch Annealing Plant (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Batch Annealing Plant (FR),20701.0,BAF,Batch Annealing Furnace Plant (BAF),"#",Germany,2020-05-11 00:00:00,In Operation,2020-05-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Batch Annealing Plant (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Continuous Annealing Line (FR),20703.0,CAL,Continuous Annealing Line,"#",Germany,2020-05-11 00:00:00,In Operation,2020-05-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Continuous Annealing Line (FR),ZZ MS CRM Import Account,0.0,,Europe,,,,,,,,
Flat Products,Continuous Annealing Line (FR),14624.0,Continuous Annealing Line,Continuous Annealing Line,"#",Sweden,1980-01-01 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Roland Will,SSAB,Continuous Annealing Line (FR),SSAB Europe AB - Borlänge,460000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),13884.0,"""Combi-Line for Heat Treatment and Color",Color Coating Line for Aluminum,S-DE-GREVE,Germany,2000-01-01 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Johannes Schuchardt,Speira GmbH,Color Coating Line (FR),Speira GmbH,0.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),20165.0,00,Color Coating Line for Carbon Steel,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Carina Gesierich,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,120000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),19796.0,00,Color Coating Line for Carbon Steel,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Marissa McMurray,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,105000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),20672.0,00,Color Coating Line for Carbon Steel,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Carina Gesierich,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,75000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),19775.0,01,Color Coating Line for Carbon Steel,"#",Germany,2006-12-18 00:00:00,In Operation,2020-02-06 00:00:00,Internet,Marissa McMurray,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,120000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),19957.0,CCL Colour Coating Line,Color Coating Line for Carbon Steel,S-PL-KRAKA,Poland,2016-02-12 00:00:00,In Operation,2019-10-01 00:00:00,Internet,Doris Witte,ArcelorMittal Poland S.A.,Color Coating Line (FR),ArcelorMittal Poland S.A.,0.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),20000.0,CCL for CS,Color Coating Line for Carbon Steel,"#",Germany,1997-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,50000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),28932.0,CCL1 / OCL1,Color Coating Line CCL,"#",Poland,1975-01-01 00:00:00,In Operation,2024-04-29 00:00:00,on site,Marek Mika,ArcelorMittal Poland S.A.,Color Coating Line (FR),ArcelorMittal Poland S.A. - Oddzial w Swietochlowice (Huta F,100000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),14777.0,Cold Rolled &  Galvanized Steel Strip,Color Coating Line for Carbon Steel,"#",Germany,2012-01-01 00:00:00,In Operation,2019-10-01 00:00:00,Internet,Johannes Schuchardt,ThyssenKrupp Rasselstein GmbH,Color Coating Line (FR),thyssenkrupp Rasselstein GmbH,45000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),17508.0,Cold Rolled &  Galvanized Steel Strip,Color Coating Line for Carbon Steel,"#",Belgium,"#",In Operation,2019-10-01 00:00:00,Internet,Carina Gesierich,ArcelorMittal Gent,Color Coating Line (FR),ArcelorMittal Gent,200000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),20103.0,Cold Rolled &  Galvanized Steel Strip,Color Coating Line for Carbon Steel,"#",Germany,2007-01-01 00:00:00,In Operation,2019-10-01 00:00:00,Internet,Roland Will,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,150000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),11053.0,"Color Coating Line (revamp, floatation o",Color Coating Line for Aluminum,S-DE-NEUSS,Germany,2000-01-01 00:00:00,In Operation,2020-01-01 00:00:00,Internet,Johannes Schuchardt,Aluminium Norf GmbH,Color Coating Line (FR),ALUMINIUM NORF GMBH,0.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),12065.0,Color Coating Line CCL2,Color Coating Line for Carbon Steel,"#",Austria,"#",In Operation,2020-01-01 00:00:00,Internet,Johannes Schuchardt,voestalpine Stahl GmbH,Color Coating Line (FR),voestalpine Stahl GmbH,0.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),20311.0,CON. COATING LINE (CCL) No. 1,Color Coating Line for Carbon Steel,"#",Germany,1990-01-01 00:00:00,In Operation,2020-05-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,150000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),19821.0,CON. COATING LINE (CCL) No. 2,Color Coating Line for Carbon Steel,"#",Germany,1997-01-01 00:00:00,In Operation,2020-05-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,80000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),19810.0,CON. COATING LINE (CCL) No. 3,Color Coating Line for Carbon Steel,"#",Germany,2017-01-01 00:00:00,In Operation,2020-05-06 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,120000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),14212.0,ELVAL Color Coating Line for Aluminium,Color Coating Line for Aluminum,"#",Greece,2008-01-01 00:00:00,In Operation,2019-10-01 00:00:00,Internet,Johannes Schuchardt,Elval Hellenic Aluminium Industry S.A.,Color Coating Line (FR),Elval Hellenic Aluminium Industry S.A. - Oinofyta Viotia,50000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),10593.0,Euramax Color Coating Line for Aluminium,Color Coating Line for Aluminum,"#",Netherlands,2007-01-01 00:00:00,In Operation,2019-10-01 00:00:00,Internet,Johannes Schuchardt,Euramax Coated Products B. V.,Color Coating Line (FR),Euramax Coated Products B. V.,30000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),11973.0,GALV./GALVANNEAL.,Color Coating Line for Carbon Steel,"#",Slovakia,2007-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Roland Will,"U.S. Steel Kosice, s.r.o.",Color Coating Line (FR),"U.S. Steel Kosice, s.r.o.",90000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),18595.0,GALV./GALVANNEAL.,Color Coating Line for Carbon Steel,"#",Germany,1965-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Carina Gesierich,ThyssenKrupp Steel Europe AG,Color Coating Line (FR),thyssenkrupp Steel Europe AG - Duisburg-Beeckerwerth,160000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),19885.0,GALVANIZING,Color Coating Line for Carbon Steel,"#",Germany,1993-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,80000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),19887.0,GALVANIZING,Color Coating Line for Carbon Steel,"#",Germany,1996-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Johannes Schuchardt,ZZ MS CRM Import Account,Color Coating Line (FR),ZZ MS CRM Import Account,60000.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),12060.0,GALVANIZING,Color Coating Line for Carbon Steel,"#",Slovakia,1967-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Johannes Schuchardt,"U.S. Steel Kosice, s.r.o.",Color Coating Line (FR),"U.S. Steel Kosice, s.r.o.",0.0,,Europe,,,,,,,,
Flat Products,Color Coating Line (FR),15228.0,GALVANIZING,Color Coating Line for Carbon Steel,"#",Germany,2001-01-01 00:00:00,In Operation,2018-01-01 00:00:00,Internet,Carina Gesierich,Salzgitter Flachstahl GmbH,Color Coating Line (FR),Salzgitter Flachstahl GmbH,180000.0,,Europe,,,,,,,,
