rank,company,equipment_type,country,equipment_age,priority_score
1,Unknown,Unknown,Unknown,10,1.9
2,Unknown,Unknown,Unknown,10,1.9
3,Unknown,Unknown,Unknown,10,1.9
4,Unknown,Unknown,Unknown,10,1.9
5,Unknown,Unknown,Unknown,10,1.9
6,Unknown,Unknown,Unknown,10,1.9
7,Unknown,Unknown,Unknown,10,1.9
8,Unknown,Unknown,Unknown,10,1.9
9,Unknown,Unknown,Unknown,10,1.9
10,Unknown,Unknown,Unknown,10,1.9
11,Unknown,Unknown,Unknown,10,1.9
12,Unknown,Unknown,Unknown,10,1.9
13,Unknown,Unknown,Unknown,10,1.9
14,Unknown,Unknown,Unknown,10,1.9
15,Unknown,Unknown,Unknown,10,1.9
16,Unknown,Unknown,Unknown,10,1.9
17,Unknown,Unknown,Unknown,10,1.9
18,Unknown,Unknown,Unknown,10,1.9
19,Unknown,Unknown,Unknown,10,1.9
20,Unknown,Unknown,Unknown,10,1.9
21,Unknown,Unknown,Unknown,10,1.9
22,Unknown,Unknown,Unknown,10,1.9
23,Unknown,Unknown,Unknown,10,1.9
24,Unknown,Unknown,Unknown,10,1.9
25,Unknown,Unknown,Unknown,10,1.9
26,Unknown,Unknown,Unknown,10,1.9
27,Unknown,Unknown,Unknown,10,1.9
28,Unknown,Unknown,Unknown,10,1.9
29,Unknown,Unknown,Unknown,10,1.9
30,Unknown,Unknown,Unknown,10,1.9
31,Unknown,Unknown,Unknown,10,1.9
32,Unknown,Unknown,Unknown,10,1.9
33,Unknown,Unknown,Unknown,10,1.9
34,Unknown,Unknown,Unknown,10,1.9
35,Unknown,Unknown,Unknown,10,1.9
36,Unknown,Unknown,Unknown,10,1.9
37,Unknown,Unknown,Unknown,10,1.9
38,Unknown,Unknown,Unknown,10,1.9
39,Unknown,Unknown,Unknown,10,1.9
40,Unknown,Unknown,Unknown,10,1.9
41,Unknown,Unknown,Unknown,10,1.9
42,Unknown,Unknown,Unknown,10,1.9
43,Unknown,Unknown,Unknown,10,1.9
44,Unknown,Unknown,Unknown,10,1.9
45,Unknown,Unknown,Unknown,10,1.9
46,Unknown,Unknown,Unknown,10,1.9
47,Unknown,Unknown,Unknown,10,1.9
48,Unknown,Unknown,Unknown,10,1.9
49,Unknown,Unknown,Unknown,10,1.9
50,Unknown,Unknown,Unknown,10,1.9
51,Unknown,Unknown,Unknown,10,1.9
52,Unknown,Unknown,Unknown,10,1.9
53,Unknown,Unknown,Unknown,10,1.9
54,Unknown,Unknown,Unknown,10,1.9
55,Unknown,Unknown,Unknown,10,1.9
56,Unknown,Unknown,Unknown,10,1.9
57,Unknown,Unknown,Unknown,10,1.9
58,Unknown,Unknown,Unknown,10,1.9
59,Unknown,Unknown,Unknown,10,1.9
60,Unknown,Unknown,Unknown,10,1.9
61,Unknown,Unknown,Unknown,10,1.9
62,Unknown,Unknown,Unknown,10,1.9
63,Unknown,Unknown,Unknown,10,1.9
64,Unknown,Unknown,Unknown,10,1.9
