SourcePath,SourceName,Extension,RelativePath,Target,SizeBytes,ModifiedAt,IndexedAt
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600008496.0001.docx,SDE-TS-RE600008496.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600008496.0001.docx,07_SCIFORMA/acceptence_reports,49339,2020-01-14T01:50:43.865143+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600008496.0001.pdf,SDE-TS-RE600008496.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600008496.0001.pdf,07_SCIFORMA/acceptence_reports,103935,2018-03-27T00:54:28.570174+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010135.0001.docx,SDE-TS-RE600010135.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010135.0001.docx,07_SCIFORMA/acceptence_reports,49318,2020-01-14T01:50:38.365121+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010135.0001.pdf,SDE-TS-RE600010135.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010135.0001.pdf,07_SCIFORMA/acceptence_reports,102790,2018-03-27T00:53:43.898048+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010530.0001.docx,SDE-TS-RE600010530.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010530.0001.docx,07_SCIFORMA/acceptence_reports,49346,2020-01-14T01:50:39.880744+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010530.0001.pdf,SDE-TS-RE600010530.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010530.0001.pdf,07_SCIFORMA/acceptence_reports,106207,2018-03-27T00:53:48.429298+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010531.0001.docx,SDE-TS-RE600010531.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010531.0001.docx,07_SCIFORMA/acceptence_reports,49344,2020-01-14T01:50:39.927619+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010531.0001.pdf,SDE-TS-RE600010531.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010531.0001.pdf,07_SCIFORMA/acceptence_reports,105737,2018-03-27T00:53:48.601202+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010657.0001.docx,SDE-TS-RE600010657.0001.docx,.docx,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010657.0001.docx,07_SCIFORMA/acceptence_reports,49346,2020-01-14T01:50:40.349505+00:00,2026-03-12T11:16:06.006618+00:00
P:\SDE-TS-Customer-Projects\07_SCIFORMA\acceptence_reports\SDE-TS-RE600010657.0001.pdf,SDE-TS-RE600010657.0001.pdf,.pdf,07_SCIFORMA/acceptence_reports/SDE-TS-RE600010657.0001.pdf,07_SCIFORMA/acceptence_reports,103476,2018-03-27T00:53:50.101185+00:00,2026-03-12T11:16:06.006618+00:00
